name;food_tags;mood_tags;address;neighborhood;latitude;longitude;rating;reviews_count;price_level;phone;website;hours;permanently_closed;temporarily_closed;maps url;status
Gorda;Mexican;Restaurant;Enghavevej 5, st, 1674 København;Vesterbro;55.6712103;12.5462163;4.7;477;;50 17 27 95;http://gorda.dk/;Closed · Opens 5.00 pm Tue;No;No;https://www.google.com/maps/place/Gorda/data=!4m2!3m1!1s0x46525347fbb9c939:0x965756790e10c452;success
Green Room/Scandic;"Coffee; Wine; Cocktails";"Bar; Hotel";Falkoner Alle 9, 2000 København;;55.6797384;12.5332089;4.2;102;;72 58 10 41;https://greenroom-restaurant.dk/;;No;No;https://www.google.com/maps/place/Green+Room+Restaurant+%26+Bar/data=!4m2!3m1!1s0x4652536213496dab:0x32512d9ccff2765a;success
Hanzo;Asian;"Restaurant; Al Fresco";Solbjergvej 8, 2000 Frederiksberg;;55.6810436;12.5315474;4.2;217;;38 42 34 77;https://www.madklubben.dk/restauranter/koebenhavn/hanzo/frederiksberg?utm_source=Google%20business&utm_medium=&utm_campaign=;Open · Closes 11.00 pm;No;No;https://www.google.com/maps/place/Hanzo+Frederiksberg/data=!4m2!3m1!1s0x465253ce336d5ced:0xc02190792c521c72;success
Hart;"Fastelavnsbolle; Pastry";"Cafe; Al Fresco";Galionsvej 41, 1437 København;Holmen;55.6795537;12.6011156;4.6;1,041;;;https://hartbageri.com/;Closed · Opens 7.30 am Mon;No;No;https://maps.app.goo.gl/UgWj9Crsg7sYytLf6?g_st=ic;success
Hart;"Fastelavnsbolle; Pastry";Bakery;Julius Bloms Gade 32, 2200 København;Nørrebro;55.6952807;12.5440316;4.2;88;;;https://hartbageri.com/;Closed · Opens 7.30 am Mon;No;No;https://www.google.com/maps/place/Hart/data=!4m2!3m1!1s0x4652530030fd8f4f:0x990da25bc38605ec;success
Hart;"Fastelavnsbolle; Pastry";"Cafe; Al Fresco";Refshalevej 159A, 1432 København;Refshaleøen;55.6912475;12.6114625;4.6;296;;;https://hartbageri.com/;Closed · Opens 7.30 am Mon;No;No;https://www.google.com/maps/place/Hart/data=!4m2!3m1!1s0x465253b36c793463:0x34b60e6a98842084;success
HIAN;Asian;Restaurant;Frederiksborggade 26, 1360 København;Indre By;55.6844152;12.5702114;4.3;405;;53 52 59 52;https://www.hian.dk/;;No;No;https://www.google.com/maps/place/HIAN+-+Vietnamese+Eatery+and+Drinks/data=!4m2!3m1!1s0x46525334e6364507:0xbaa7db9ebb76e59e;success
Homeland;Asian;Restaurant;Nordre Fasanvej 158, st. th, 2000 Frederiksberg;;55.6938138;12.5334342;4.6;174;;42 92 98 89;https://homelandkitchen.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business;Open · Closes 10.00 pm;No;No;https://www.google.com/maps/place/Homeland+Brasserie+%26+Caf%C3%A9/data=!4m2!3m1!1s0x465253b45d08cfeb:0x272710a0ded70443;success
Hongs Special Dim Sum Bar;Asian;Restaurant;Nordre Fasanvej 52, 2000 Frederiksberg;;55.6843248;12.5251265;4.5;96;;53 52 88 68;https://www.hongsspecial.dk/;Open · Closes 10.00 pm;No;No;https://www.google.com/maps/place/Hongs+Special+Dim+Sum+Bar+%E5%93%81%E7%B2%A4%E5%B1%85+%E7%82%B9%E5%BF%83+%E5%93%A5%E6%9C%AC%E5%93%88%E6%A0%B9/data=!4m2!3m1!1s0x46525339d2548d7d:0x2b0c637fb48e6b8c;success
Høst;New Nordic;Restaurant;Nørre Farimagsgade 41, 1364 København;Indre By;55.6833518;12.5661528;4.6;4,218;;89 93 84 09;https://cofoco.dk/hoest/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=hoest;;No;No;https://www.google.com/maps/place/H%C3%B8st/data=!4m2!3m1!1s0x46525305ed0b0f45:0x9842c5cc03aa6e55;success
